Usuario,Puntuación_influence,Seguidores,Media_likes,Posts,Tasa_interacción_60d,Media_Likes_Post_Nuevo,Total_Likes,País,Idioma_principal
mariliamendoncacantora,73.0,41.9m,1.0m,1.5k,0.7%,275.6k,1.5b,Brasil,Portugés
zidane,41.0,41.7m,1.1m,427,2.6%,1.1m,450.0m,Francia,Inglés
antogriezmann,83.0,41.4m,926.8k,1.0k,0.6%,256.6k,956.4m,Francia,Español
katherinelangford,77.0,40.9m,1.4m,120,0.0%,0,162.1m,Australia,Inglés
wizkhalifa,80.0,40.6m,339.6k,672,0.6%,230.4k,228.2m,Estados Unidos,Inglés
jasonstatham,58.0,40.5m,1.8m,303,2.8%,1.1m,541.7m,China,Inglés
eminem,84.0,40.2m,1.1m,739,2.1%,851.3k,781.9m,Estados Unidos,Inglés
jennaortega,63.0,40.1m,408.3k,60,13.0%,464.0k,24.5m,Estados Unidos,Inglés
wesleysafadao,80.0,39.9m,248.7k,9.3k,1.1%,416.9k,2.3b,Brasil,Portugés
laudyacynthiabella,76.0,39.8m,140.2k,273,0.1%,25.7k,38.3m,Indonesia,Indonesio
rashmika_mandanna,84.0,39.7m,2.4m,643,4.3%,1.7m,1.5b,India,Inglés
nancyajram,81.0,39.5m,349.3k,3.9k,0.5%,182.1k,1.4b,Francia,Inglés
anushkasen0408,85.0,39.5m,682.2k,5.8k,1.1%,436.2k,4.0b,India,Inglés
eunwo.o_c,82.0,39.4m,5.1m,422,10.5%,4.1m,2.1b,Corea del Sur,Coreano
gisel_la,85.0,39.0m,138.0k,9.9k,0.1%,49.6k,1.4b,Indonesia,Indonesio
disney,77.0,38.6m,165.1k,8.2k,0.4%,139.8k,1.4b,Estados Unidos,Inglés
hm,83.0,38.4m,78.7k,7.9k,0.0%,10.2k,619.0m,Suecia,Inglés
marvelstudios,83.0,38.2m,538.0k,3.3k,0.7%,283.5k,1.8b,Estados Unidos,Inglés
tigerjackieshroff,83.0,38.1m,917.0k,2.3k,2.0%,738.9k,2.1b,India,Inglés
lunamaya,83.0,38.0m,131.1k,4.4k,0.2%,83.4k,575.6m,Indonesia,Indonesio
kimberly.loaiza,78.0,37.9m,2.5m,622,4.3%,1.6m,1.6b,Mexico,Español
djkhaled,73.0,37.9m,67.0k,10.0k,0.2%,57.8k,667.1m,Estados Unidos,Inglés
mercedesbenz,77.0,37.8m,172.5k,9.9k,0.2%,84.6k,1.7b,Islas Vírgenes Británicas,Inglés
iambeckyg,71.0,37.8m,650.2k,2.5k,1.0%,363.4k,1.6b,Estados Unidos,Inglés
simonemendes,72.0,37.8m,380.7k,4.7k,0.4%,136.0k,1.8b,Brasil,Portugés
raisa6690,80.0,37.8m,201.6k,4.4k,0.1%,55.3k,894.6m,Indonesia,Inglés
madisonbeer,76.0,37.7m,1.6m,826,3.0%,1.1m,1.3b,Reino Unido,Inglés
frenchmontana,72.0,37.5m,138.2k,160,0.4%,148.9k,22.1m,Estados Unidos,Inglés
bmw,79.0,37.5m,213.4k,10.0k,0.3%,104.2k,2.1b,Alemania,Inglés
madhuridixitnene,76.0,37.2m,369.7k,1.6k,0.6%,227.2k,593.7m,India,Inglés
addisonraee,85.0,36.8m,2.8m,165,1.1%,382.8k,464.0m,Estados Unidos,Inglés
shaymitchell,83.0,36.7m,613.2k,6.5k,0.6%,214.7k,4.0b,Estados Unidos,Inglés
